LG;MT;NEM;PROM;ICA;PTJEPOND;REM;PTEST;NP1AL;NP2AL;NP3AL;NP1CAL;NP2CAL;NP3CAL;NFAL;NFCAL;PROM.MAT;PlanEstudio;UA
681;673;702;5,009090909;740;686;724;0,72;5,7;4,9;3,4;5,8;5,3;4,4;5;5,1;5,1;COM;S
;;;4,036363636;487,3;;;0,66;4,7;4,1;1,7;5,5;2,8;3,7;3,6;3,2;3,4;COM;S
;;;5,325;770;;;0,44;4,1;5,1;5,3;4,7;4,8;4,4;4,9;4,8;4,9;IND;S
613;617;665;5,1;750;620;671;0,3;5;5,1;6,2;4;4,9;4,3;5,7;5,1;5,4;COM;V
694;644;626;4,381818182;636,4;648;627;0,44;4,4;4,9;3,1;4,8;2,3;3,8;3,7;4,6;4,2;COM;V
657;679;610;5,045454545;740;667;611;0,58;4,4;4,4;3,6;6,3;6,1;4,9;4,1;5,7;4,9;COM;V
;;;4,6;700;;;0,48;3,9;3,1;2,9;5,4;4;4,4;4,2;4,2;4,2;COM;S
;;;4,472727273;690;638;;0,5;5,5;4,8;2,4;5,5;4,4;2,6;4;4,2;4,1;COM;S
616;679;643;4,554545455;700;667;658;0,7;4,8;4,5;2;3,9;3,1;3,8;4;4,1;4,1;COM;S
598;653;651;4,654545455;710;658;678;0,68;6,6;4,7;3;5;4,3;3,4;4;4;4;COM;S
694;653;605;4,516666667;690;651;605;0,68;3,7;4;4,3;2,6;5,1;3,4;4;4;4;IND;S
755;685;564;4,990909091;740;669;564;0,84;5,3;3,9;3,9;6,1;5,3;4;4,3;4,9;4,6;COM;S
681;679;599;4,581818182;700;655;602;0,68;5,5;4,8;2,9;5,1;5,3;1,4;4;4,6;4,3;COM;S
657;697;622;5,05;680;674;622;0,72;3,7;5,3;3,8;3,3;4,5;3,9;4,2;4;4,1;IND;S
574;679;742;4,872727273;730;681;828;0,56;6,7;5,7;3,4;5,1;4,1;4,4;4,6;4,4;4,5;COM;S
729;679;599;4,718181818;600,9;675;618;0,6;4,1;3,7;2,7;3,9;4,7;2,7;3,7;3,5;3,6;COM;S
546;679;626;4,633333333;700;651;626;0,72;4,7;3,5;2,8;4,5;4,4;2,7;4,4;4;4,2;IND;V
;;;4,654545455;666,4;626;;0,62;5,5;4,5;4,5;4,6;5;4;4,8;4,8;4,8;COM;V
546;639;684;4,441666667;680;649;850;0,62;2,3;5,2;4;2,4;3,3;2,8;4;4,1;4,1;IND;S
636;663;698;4,563636364;700;665;712;0,6;6,2;4,6;3,8;5,4;4,4;3,3;4,6;4;4,3;COM;S
646;653;663;4,581818182;700;654;687;0,64;4;5,8;4,7;3,6;4,1;3,9;4,5;4;4,3;COM;V
729;622;645;4,6;700;647;750;0,54;6;5,2;2,8;1,6;2,5;4,3;4,2;4;4,1;IND;S
;;;4,533333333;690;;;0,52;4,2;3,8;3,6;3,3;4,5;4,6;4;4;4;IND;S
646;653;626;4,409090909;680;643;626;0,6;2,7;5,1;3,9;4,4;3,8;3,1;4;4,5;4,3;COM;V
636;673;618;3,363636364;383,6;656;618;0,6;1,7;3,1;1,7;2,5;2,9;2,3;2,3;2,8;2,6;COM;V
639;706;633;4,154545455;616,4;677;633;0,78;;;;5,6;4;4,5;;4,1;4,1;COM;S
616;712;589;4,472727273;690;673;589;0,68;4,5;5,6;3,7;5,1;4,7;3;4,4;4;4,2;COM;S
626;697;635;4,875;670;670;658;0,8;5,7;6,5;4,8;3,4;5,1;2,9;5,1;3,6;4,4;IND;S
607;775;667;5,208333333;760;727;690;0,96;6,2;4,5;5,9;4,7;5,2;3,4;5,8;4,9;5,4;IND;S
657;712;610;4,266666667;630;688;610;0,7;2,8;5,2;3,8;4;4,7;2,9;4,9;4,1;4,5;IND;S
568;626;645;5,354545455;780;622;645;0,54;6,2;6;6,4;6;6,3;5,4;6;5,9;6;COM;V
729;663;752;6,090909091;850;709;850;0,56;5,5;6,2;5,7;6;5,8;5;5,8;5,8;5,8;COM;S
646;728;684;5,008333333;740;707;707;0,84;5,3;4,6;3,5;4,2;5,9;3,3;4,3;4,8;4,6;IND;S
531;685;496;3,781818182;532,7;627;496;0,62;3,2;4,9;3,9;4,5;4,3;3,2;3,7;4,2;4;COM;V
